created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,id_analog,o3_analog,pm25_analog,pm10_analog,no2_analog,co_analog,pm2_5_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu,predicted_category,actual_category,segmen,lokasi
2026-06-10 09:14:58.253006+00:00,12.07,12.12,1701.65,0,19.63,36.1,47.1,154.0,0.0,126.0,125.0,4095.0,2689.0,40.07,13.29,20.55,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:56:37.633747+00:00,15.59,17.0,1785.43,0,19.63,35.5,50.0,136.0,0.0,148.0,149.0,4095.0,2677.0,51.0,18.86,20.23,0.0,8.18,Sedang,Sedang,4,Margomulyo
2026-06-10 09:18:02.078194+00:00,10.83,13.29,1695.08,0,19.63,36.1,47.0,157.0,0.0,130.0,132.0,4095.0,2705.0,42.34,14.91,20.97,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:24:09.642162+00:00,19.47,19.56,1582.14,0,19.63,36.2,47.2,163.0,0.0,130.0,127.0,4095.0,2735.0,42.34,13.75,21.8,0.0,8.18,Sedang,Baik,4,Margomulyo
2026-06-10 09:13:56.647427+00:00,12.42,13.29,1643.67,0,19.63,36.1,47.5,153.0,0.0,124.0,131.0,4095.0,2704.0,38.93,14.68,20.94,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:11:54.512646+00:00,13.3,14.91,1719.33,0,19.63,36.1,47.5,151.0,0.0,126.0,123.0,4095.0,2721.0,40.07,12.82,21.41,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:31:17.242027+00:00,10.48,12.82,1472.96,0,19.63,36.7,46.1,170.0,0.0,132.0,121.0,4095.0,2683.0,43.48,12.36,20.39,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:58:39.780228+00:00,13.13,13.52,1723.79,0,19.63,35.6,48.4,138.0,0.0,124.0,125.0,4095.0,2649.0,38.93,13.29,19.53,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:20:04.374077+00:00,11.72,13.98,1739.5,0,19.63,36.1,46.8,159.0,0.0,127.0,122.0,4095.0,2673.0,40.64,12.59,20.13,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:42:31.230022+00:00,11.72,12.12,1515.85,0,19.63,35.9,48.7,181.0,0.0,119.0,123.0,4095.0,2694.0,36.09,12.82,20.68,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:44:33.513177+00:00,12.24,13.29,1660.58,0,19.63,35.7,50.0,183.0,0.0,135.0,136.0,4095.0,2651.0,45.18,15.84,19.58,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:25:10.426349+00:00,12.6,14.91,1679.88,0,19.63,36.3,47.0,164.0,0.0,166.0,152.0,4095.0,2659.0,54.98,19.56,19.78,0.0,8.18,Baik,Sedang,4,Margomulyo
2026-06-10 09:17:00.816123+00:00,13.13,14.91,1677.72,0,19.63,36.1,47.0,156.0,0.0,117.0,125.0,4095.0,2758.0,34.95,13.29,22.46,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:33:20.048519+00:00,12.6,13.98,1622.83,0,19.63,36.7,45.6,172.0,0.0,119.0,117.0,4095.0,2559.0,36.09,11.43,17.46,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:48:26.901908+00:00,13.13,11.66,1699.46,0,19.63,34.5,51.1,128.0,0.0,114.0,114.0,4095.0,2646.0,33.25,10.73,19.45,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:08:50.681537+00:00,14.18,14.68,1746.29,0,19.63,36.0,48.5,148.0,0.0,126.0,131.0,4095.0,2759.0,40.07,14.68,22.49,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:49:28.148293+00:00,11.72,14.68,1699.46,0,19.63,34.6,50.9,129.0,0.0,130.0,118.0,4095.0,2715.0,42.34,11.66,21.24,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:36:23.773806+00:00,12.07,12.12,1620.76,0,19.63,36.7,46.2,175.0,0.0,125.0,124.0,4095.0,2687.0,39.5,13.05,20.49,0.0,8.18,Baik,Baik,4,Margomulyo
